Org Name,Contact Address w/o Unit,Latitude,Longitude
"Phipps Neighborhoods, Inc.",902 Broadway Manhattan 10010,40.739283,-73.989361
Project Hospitality,100 Park Ave Staten Island 10302,40.638044,-74.132135
Queens Community House,108-25 62nd Drive Queens 11375,40.736296,-73.85009
"R.A.I.N. Total Care, Inc.",811 Morris Park Ave Bronx 10462,40.84628,-73.862321
Red De Pueblos Trasnacionales/Transnational Villages Network,419 E 117th St Manhattan 10035,40.796465,-73.933947
Red Hook Initiative,767 Hicks St Brooklyn 11231,40.676757,-74.004474
Riseboro Community Partnership,565 Bushwick Ave Brooklyn 11206,40.699495,-73.935447
Rockaway Youth Task Force,1920 Mott Ave Queens 11691,40.604083,-73.752223
Sadie Nash Leadership Project,4 W 43rd St Manhattan 10036,40.754275,-73.981292
Samuel Field YM&YWHA,67-09 108th St Queens 11375,40.728711,-73.847085
"Sapna NYC, Inc.",2348 Waterbury Ave Bronx 10462,40.834554,-73.846583
"Sauti Yetu Center for African Women, Inc.",2417 Third Ave Bronx 10451,40.808815,-73.930752
SCO Family of Services/Center for Family Life,443 39th St Brooklyn 11232,40.652075,-74.00477
SOMOS Healthcare Providers Inc.,519 Eighth Ave Manhattan 10018,40.753399,-73.993014
South Asian Council for Social Services,143-06 45th Ave Queens 11355,40.753843,-73.818019
"South Asian Youth Action, Inc.",54-05 Seabury St Queens 11373,40.73545,-73.877084
Southside United Housing Development Fund Corporation,434 South 5th St Brooklyn 11211,40.706893,-73.951711
Stanley M. Isaacs Neighborhood Center,415 E 93rd St Manhattan 10128,40.781264,-73.945127
Sunnyside Community Services Inc.,43-31 39th St Sunnyside 11104,40.745095,-73.925614
"Sunset Park Health Council, Inc.",6025 6th Ave Brooklyn 11220,40.637551,-74.014162
Sure We Can,219 McKibbin St Brooklyn 11206,40.705496,-73.938923
"The Campaign Against Hunger, Inc.",2010 Fulton St Brooklyn 11233,40.678484,-73.917832
The Fortune Society,29-76 Northern Blvd Queens 11101,40.750394,-73.934832
"The National Black Leadership Commission On Health, Inc.",215 W 125th St Manhattan 10027,40.8097,-73.948931
The New York Center for Interpersonal Development,130 Stuyvesant Pl Staten Island 10301,40.642924,-74.077166
"The New York Immigration Coalition, Inc.",131 W 33rd St Manhattan 10001,40.749958,-73.989676
The New York Urban League,204 W 136th St Manhattan 10030,40.816123,-73.944003
The Point CDC,940 Garrison Ave Bronx 10474,40.818189,-73.890543
The YWCA of Queens,42-07 Parsons Blvd Queens 11355,40.758045,-73.818796
"Union Settlement Association, Inc.",237 E 104th St Manhattan 10029,40.789879,-73.944338
"United Activities Unlimited, Inc.",1000 Richmond Terrrace Staten Island 10301,#ERROR!,#ERROR!
United Jewish Organizations of Williamsburg,32 Penn St Brooklyn 11249,40.700158,-73.960991
United Sherpa Association,41-01 75th St Queens 11373,40.74518,-73.88985
United Sikhs,101-05 Lefferts Blvd South Richmond Hill 11419,40.689772,-73.825696
United Way of New York City,205 E 42nd St Manhattan 10017,40.75082,-73.973574
University Settlement Society of New York,184 Eldridge St Manhattan 10002,40.720538,-73.99052
Uptown Grand Central,1974 Madison Ave Manhattan 10035,40.806618,-73.940358
USA Mali Charitable Association of NYC,151 W 128th St Manhattan 10027,40.810933,-73.94641
"Vision Urbana, Inc.",207 E Broadway Manhattan 10002,40.714028,-73.987768
Voices of Community Activists and Leaders,80A Fourth Ave Brooklyn 11217,40.682173,-73.980226
Women for Afghan Women,71-19 162nd St Queens 11365,40.729784,-73.80695
Woodside on the Move,51-23B Queens Blvd Queens 11377,40.742898,-73.91311
Word Up Community Bookshop / Librería Comunitaria,2113 Amsterdam Ave Manhattan 10032,40.837633,-73.938235
Worker's Justice Project,365 Broadway Brooklyn 11211,40.707679,-73.955215
Yankasa Association of USA Inc.,1707 Townsend Ave Bronx 10453,40.84658,-73.912263
Yemeni American Merchants Association,6740 5th Ave Brooklyn 11220,40.634639,-74.020781
Young Men's Christian Association of Greater New York,5 W 63rd St Manhattan 10023,40.771108,-73.980528
Youth Ministries for Peace and Justice,1384 Stratford Ave Bronx 10472,40.833513,-73.876243
Congregation Kehilas Belz,1435 51st St Brooklyn 11219,40.63215,-73.98998
"Muslim Community Network, Inc.",110 Wall St Manhattan 10005,40.704901,-74.006334
Islamic Circle of North America,166-26 89th Ave Queens 11432,40.708161,-73.794309
Association for a Better New York,,#ERROR!,#ERROR!
Asian Americans for Equality,,#ERROR!,#ERROR!
Brooklyn NAACP,,#ERROR!,#ERROR!
Community Resource Exchange,,#ERROR!,#ERROR!
Federation of Protestant Welfare Agencies,,#ERROR!,#ERROR!
CLSJ at Medgar Evers College,,#ERROR!,#ERROR!
National Association of Latino Elected and Appointed Officials,,#ERROR!,#ERROR!
United Neighborhood Houses,,#ERROR!,#ERROR!
